Year,Team,Conference,Wins,Losses,Bowl Game,Average Attendance
2005,Kent State,Mid-American,1,10,False,566.1818181818181
2005,Eastern Kentucky,OVC,7,4,False,56747.0
2005,Dartmouth,Ivy,2,8,False,
2005,Nicholls,Southland,6,4,False,27600.0
2005,BYU,Mountain West,6,6,True,4784.545454545455
2005,Florida,SEC,9,3,True,7681.909090909091
2005,Iowa,Big Ten,7,5,True,6416.818181818182
2005,UNLV,Mountain West,2,9,False,0.0
2005,Boise State,Western Athletic,9,4,True,2550.25
2005,Colorado,Big 12,7,6,True,5925.583333333333
2005,Brown,Ivy,9,1,False,
2005,Colorado State,Mountain West,6,6,True,3308.181818181818
2005,Oklahoma,Big 12,8,4,True,0.0
2005,Sacred Heart,NEC,4,6,False,
2005,Kentucky,SEC,3,8,False,5410.818181818182
2005,Hofstra,Atlantic 10,8,4,False,
2005,Illinois,Big Ten,2,9,False,0.0
2005,UC Davis,Great West,6,5,False,31250.0
2005,Virginia Tech,ACC,11,2,True,6062.416666666667
2005,Georgia Southern,Southern,8,4,False,
2005,Mississippi Valley State,SWAC,0,1,False,
2005,North Carolina,ACC,5,6,False,0.0
2005,San Diego State,Mountain West,5,7,False,0.0
2005,Weber State,Big Sky,6,5,False,38156.0
2005,Colgate,Patriot,8,4,False,
2005,Princeton,Ivy,7,3,False,
2005,James Madison,Atlantic 10,7,4,False,
2005,UAB,Conference USA,5,6,False,2100.818181818182
2005,Grambling,SWAC,0,1,False,0.0
2005,Nebraska,Big 12,8,4,True,7042.636363636364
2005,Valparaiso,Pioneer,3,8,False,
2005,Furman,Southern,11,2,False,
2005,Elon,Southern,3,8,False,
2005,Fresno State,Western Athletic,8,5,True,3179.6666666666665
2005,Penn State,Big Ten,11,1,True,19804.81818181818
2005,Northwestern,Big Ten,7,5,True,0.0
2005,Rhode Island,Atlantic 10,4,6,False,
2005,Villanova,Atlantic 10,4,7,False,32412.0
2005,App State,Southern,10,3,False,45707.0
2005,Iona,Metro Atlantic Athletic,2,7,False,
2005,Liberty,Big South,1,10,False,40000.0
2005,Presbyterian,FCS Independents,1,1,False,
2005,Maryland,ACC,5,6,False,0.0
2005,Austin Peay,Pioneer,2,9,False,
2005,Syracuse,Big East,1,10,False,0.0
2005,Drake,Pioneer,6,4,False,
2005,New Mexico,Mountain West,6,5,False,3308.181818181818
2005,St. Peter's,Metro Atlantic Athletic,1,8,False,
2005,Ball State,Mid-American,4,7,False,0.0
2005,Youngstown State,MVFC,8,3,False,43135.0
2005,North Dakota State,Great West,7,4,False,
2005,Richmond,Atlantic 10,9,4,False,38446.0
2005,Texas Tech,Big 12,9,3,True,8622.90909090909
2005,Wake Forest,ACC,4,7,False,0.0
2005,Michigan,Big Ten,7,5,True,20166.272727272728
2005,SMU,Conference USA,5,6,False,0.0
2005,Sacramento State,Big Sky,2,9,False,65938.0
2005,San José State,Western Athletic,3,8,False,1079.8181818181818
2005,Washington,Pac-10,2,9,False,0.0
2005,South Dakota State,Great West,6,5,False,
2005,Charleston Southern,Big South,7,4,False,
2005,South Carolina,SEC,7,5,True,7193.181818181818
2005,New Hampshire,Atlantic 10,11,2,False,
2005,TCU,Mountain West,11,1,True,0.0
2005,Akron,Mid-American,7,6,True,0.0
2005,Delaware,Atlantic 10,6,5,False,
2005,Texas Southern,SWAC,0,2,False,42784.0
2005,Central Connecticut,NEC,7,4,False,
2005,Holy Cross,Patriot,6,5,False,
2005,Florida Atlantic,Sun Belt,2,9,False,1392.909090909091
2005,Pennsylvania,Ivy,5,5,False,
2005,Clemson,ACC,8,4,True,0.0
2005,Missouri,Big 12,7,5,True,0.0
2005,Boston College,ACC,9,3,True,0.0
2005,Bucknell,Patriot,1,10,False,
2005,Robert Morris,NEC,2,8,False,
2005,Temple,FBS Independents,0,11,False,0.0
2005,Coastal Carolina,Big South,9,2,False,
2005,Tulsa,Conference USA,9,4,True,0.0
2005,William & Mary,Atlantic 10,5,7,False,25102.0
2005,Northern Colorado,Great West,4,7,False,
2005,Oklahoma State,Big 12,4,7,False,3987.0
2005,Southern Illinois,MVFC,9,4,False,24497.0
2005,Morgan State,MEAC,2,8,False,
2006,Miami (OH),Mid-American,2,10,False,19197.583333333332
2006,Harvard,Ivy,7,2,False,
2006,Davidson,Pioneer,6,4,False,
2006,Jacksonville,Pioneer,4,6,False,
2006,Texas Tech,Big 12,8,5,True,55696.166666666664
2006,Western Kentucky,MVFC,6,5,False,92746.0
2006,Akron,Mid-American,5,7,False,28205.083333333332
2006,Oklahoma State,Big 12,7,6,True,43342.833333333336
2006,Boise State,Western Athletic,13,0,True,23277.333333333332
2006,Duke,ACC,0,12,False,34216.416666666664
2006,Nevada,Western Athletic,8,5,True,23222.090909090908
2006,Georgia Tech,ACC,9,5,True,58231.46153846154
2006,TCU,Mountain West,11,2,True,31209.166666666668
2006,Kentucky,SEC,8,5,True,64046.666666666664
2006,Iowa State,Big 12,4,8,False,54557.583333333336
2006,Cal Poly,Great West,4,2,False,18329.0
2006,LSU,SEC,11,2,True,89835.58333333333
2006,Virginia Tech,ACC,10,3,True,59134.416666666664
2006,Ohio State,Big Ten,12,1,True,89138.33333333333
2006,Morgan State,MEAC,5,6,False,
2006,Florida State,ACC,7,6,True,70101.33333333333
2006,USC,Pac-10,11,2,True,75185.5
2006,Northwestern State,Southland,4,7,False,40954.0
2006,Maine,Atlantic 10,6,6,False,0.0
2006,East Carolina,Conference USA,7,6,True,30859.75
2006,McNeese,Southland,7,5,False,23204.0
2006,Northern Iowa,MVFC,7,4,False,55518.0
2006,Baylor,Big 12,4,8,False,43640.083333333336
2006,Sacramento State,Big Sky,4,7,False,29674.0
2006,Samford,OVC,3,8,False,47149.0
2006,La Salle,Metro Atlantic Athletic,2,6,False,
2006,Northwestern,Big Ten,4,8,False,47905.416666666664
2006,Wyoming,Mountain West,6,6,False,29185.0
2006,Texas,Big 12,10,3,True,77095.08333333333
2006,Syracuse,Big East,4,8,False,37669.75
2006,Florida International,Sun Belt,0,12,False,28007.25
2006,West Virginia,Big East,11,2,True,52592.0
2006,SMU,Conference USA,6,6,False,23165.75
2006,San José State,Western Athletic,9,4,True,21936.25
2006,Wisconsin,Big Ten,12,1,True,72648.25
2006,Portland State,Big Sky,7,4,False,48703.333333333336
2006,Rice,Conference USA,7,6,True,30131.0
2006,Tulsa,Conference USA,8,5,True,25633.083333333332
2006,Notre Dame,FBS Independents,10,3,True,76288.0
2006,Austin Peay,FCS Independents,3,8,False,
2006,Robert Morris,NEC,7,4,False,
2006,UTEP,Conference USA,5,7,False,33689.5
2006,Kansas State,Big 12,7,6,True,46956.083333333336
2006,Colorado,Big 12,2,10,False,58509.416666666664
2006,Pittsburgh,Big East,6,6,False,38929.0
2006,Sacred Heart,NEC,2,9,False,
2006,Grambling,SWAC,0,2,False,27302.0
2006,Massachusetts,Atlantic 10,12,1,False,30117.0
2006,Oklahoma,Big 12,11,3,True,72667.46153846153
2006,Troy,Sun Belt,8,5,True,32474.5
2006,New Hampshire,Atlantic 10,10,4,False,20108.0
2006,Georgetown,Patriot,2,9,False,
2006,South Carolina,SEC,8,5,True,71010.08333333333
2006,Coastal Carolina,Big South,9,3,False,
2006,UCLA,Pac-10,7,6,True,64943.833333333336
2006,Stanford,Pac-10,1,11,False,52592.166666666664
2006,NC State,ACC,3,9,False,55707.25
2006,Dartmouth,Ivy,1,8,False,
2006,Yale,Ivy,7,2,False,
2006,Navy,FBS Independents,9,4,True,39252.916666666664
2006,UT Martin,OVC,9,3,False,15010.0
2006,Liberty,Big South,6,5,False,29623.0
2006,Arkansas-Pine Bluff,SWAC,0,1,False,
2006,San Diego,Pioneer,11,1,False,
2006,Fordham,Patriot,3,8,False,
2006,Wagner,NEC,4,7,False,
2006,Jacksonville State,OVC,6,5,False,0.0
2006,Georgia,SEC,9,4,True,85255.16666666667
2006,Gardner-Webb,Big South,6,5,False,
2006,Vanderbilt,SEC,4,8,False,51780.333333333336
2006,Tennessee Tech,OVC,4,7,False,20806.0
2006,Georgia Southern,Southern,3,8,False,
2006,Buffalo,Mid-American,2,10,False,26508.583333333332
2006,South Florida,Big East,9,4,True,35166.75
2006,Dayton,Pioneer,4,6,False,
2006,Louisville,Big East,12,1,True,38771.5
2006,Memphis,Conference USA,2,10,False,31729.666666666668
2006,Drake,Pioneer,9,2,False,
2006,Lehigh,Patriot,6,5,False,
2006,Jackson State,SWAC,0,1,False,
2006,Idaho State,Big Sky,2,9,False,17552.5
2006,Northeastern,Atlantic 10,5,6,False,66233.0
2006,Nebraska,Big 12,9,5,True,76678.0
2006,Oregon,Pac-10,7,6,True,53016.333333333336
2006,UL Monroe,Sun Belt,4,8,False,30534.083333333332
2006,Presbyterian,FCS Independents,0,2,False,
2006,Central Connecticut,NEC,8,3,False,
2006,Savannah St,FCS Independents,2,9,False,
2006,Utah,Mountain West,8,5,True,38762.333333333336
2006,Western Michigan,Mid-American,8,5,True,28428.083333333332
2006,New Mexico State,Western Athletic,4,8,False,20142.5
2006,South Dakota State,Great West,3,2,False,
2006,North Dakota State,Great West,4,1,False,36565.0
2006,Western Carolina,Southern,2,9,False,90233.0
2006,Auburn,SEC,11,2,True,78829.91666666667
2006,Toledo,Mid-American,5,7,False,22596.083333333332
2006,UCF,Conference USA,4,8,False,30612.083333333332
2006,Columbia,Ivy,5,4,False,
2006,California,Pac-10,10,3,True,64514.416666666664
2006,Delaware State,MEAC,8,3,False,
2006,North Texas,Sun Belt,3,9,False,22007.666666666668
2006,William & Mary,Atlantic 10,3,8,False,49763.0
2006,Arizona State,Pac-10,7,6,True,51725.583333333336
2006,Villanova,Atlantic 10,6,5,False,29398.0
2006,Bucknell,Patriot,6,5,False,
2006,San Diego State,Mountain West,3,9,False,32944.916666666664
2006,Cincinnati,Big East,8,5,True,37510.083333333336
2006,Maryland,ACC,9,4,True,53401.5
2006,BYU,Mountain West,11,2,True,49665.583333333336
2006,Montana,Big Sky,12,1,False,70585.0
2006,Tennessee State,OVC,6,5,False,27460.0
2006,Iona,Metro Atlantic Athletic,2,7,False,
2006,VMI,Big South,1,10,False,31069.0
2006,Rhode Island,Atlantic 10,4,7,False,36227.0
2006,Brown,Ivy,2,8,False,
2006,Texas State,Southland,5,6,False,57136.0
2006,Elon,Southern,5,6,False,
2006,Washington,Pac-10,5,7,False,60602.0
2006,SE Louisiana,Southland,2,9,False,32244.0
2006,Howard,MEAC,5,6,False,35558.0
2006,Richmond,Atlantic 10,7,5,False,27546.0
2006,Colgate,Patriot,4,7,False,
2006,Eastern Illinois,OVC,8,5,False,45444.0
2006,Louisiana Tech,Western Athletic,3,10,False,31376.53846153846
2006,Texas A&M,Big 12,9,4,True,68867.91666666667
2006,Valparaiso,Pioneer,3,8,False,
2006,Hawai'i,Western Athletic,11,3,True,35825.444444444445
2006,Hofstra,Atlantic 10,2,9,False,26861.0
2006,Middle Tennessee,Sun Belt,7,6,True,31085.083333333332
2006,Weber State,Big Sky,4,7,False,28801.0
2006,Southern,SWAC,1,0,False,
2006,Sam Houston,Southland,6,5,False,53167.0
2006,Miami,ACC,7,6,True,42745.583333333336
2006,Virginia,ACC,5,7,False,54003.916666666664
2006,Alabama A&M,SWAC,1,0,False,
2006,Northern Arizona,Big Sky,6,5,False,48433.5
2006,Bethune-Cookman,MEAC,5,6,False,
2006,Utah State,Western Athletic,1,11,False,22731.75
2006,Butler,Pioneer,3,8,False,
2006,Princeton,Ivy,8,1,False,
2006,Nicholls,Southland,4,7,False,51420.5
2006,UAlbany,NEC,7,4,False,
2006,Ball State,Mid-American,5,7,False,26695.0
2006,Oregon State,Pac-10,10,4,True,45563.230769230766
2006,Idaho,Western Athletic,4,8,False,23582.454545454544
2006,The Citadel,Southern,5,6,False,50086.5
2006,Northern Colorado,Big Sky,1,10,False,
2006,Monmouth,NEC,10,2,False,
2006,Duquesne,Metro Atlantic Athletic,5,3,False,
2006,Chattanooga,Southern,3,8,False,34419.0
2006,Indiana State,MVFC,1,10,False,34914.0
2006,Lafayette,Patriot,6,6,False,
2006,Arkansas State,Sun Belt,6,6,False,22712.583333333332
2006,UC Davis,Great West,5,2,False,25272.0
2006,Southern Utah,Great West,1,4,False,6431.0
2006,Pennsylvania,Ivy,5,4,False,
2006,James Madison,Atlantic 10,9,3,False,
2006,Bowling Green,Mid-American,4,8,False,25399.583333333332
2006,Penn State,Big Ten,9,4,True,93671.83333333333
2006,Missouri State,MVFC,2,9,False,41393.0
2006,Norfolk State,MEAC,4,7,False,
2006,North Dakota,Great West,1,0,False,
2006,Kansas,Big 12,6,6,False,45679.916666666664
2006,Houston,Conference USA,10,4,True,23672.846153846152
2006,Colorado State,Mountain West,4,8,False,29821.333333333332
2006,Eastern Kentucky,OVC,6,5,False,18792.0
2006,North Carolina A&T,MEAC,0,11,False,15041.0
2006,Texas Southern,SWAC,0,2,False,15450.0
2006,Iowa,Big Ten,6,7,True,65067.916666666664
2006,Southern Miss,Conference USA,9,5,True,35077.846153846156
2006,Cornell,Ivy,5,4,False,
2006,Ohio,Mid-American,9,5,True,23189.923076923078
2006,Northern Illinois,Mid-American,7,6,True,28120.333333333332
2006,Western Illinois,MVFC,5,6,False,80845.0
2006,Purdue,Big Ten,8,6,True,55710.61538461538
2006,Alcorn State,SWAC,0,1,False,18106.0
2006,Air Force,Mountain West,4,8,False,36962.75
2006,Eastern Michigan,Mid-American,1,11,False,19829.416666666668
2006,Morehead State,Pioneer,2,9,False,
2006,St. Peter's,Metro Atlantic Athletic,1,7,False,
2006,St. Francis (PA),NEC,3,8,False,
2006,Arizona,Pac-10,6,6,False,56743.083333333336
2006,Tulane,Conference USA,4,8,False,33156.5
2006,South Dakota,Great West,0,1,False,
2006,Alabama State,SWAC,0,1,False,26265.0
2006,Arkansas,SEC,10,4,True,66493.76923076923
2006,Murray State,OVC,1,10,False,50074.0
2006,App State,Southern,12,1,False,57583.0
2006,Florida A&M,MEAC,7,4,False,40208.0
2006,Mississippi State,SEC,3,9,False,51888.25
2006,Florida Atlantic,Sun Belt,5,7,False,26991.416666666668
2006,Marist,Metro Atlantic Athletic,4,6,False,
2006,Winston-Salem,FCS Independents,4,7,False,
2006,Youngstown State,MVFC,11,2,False,104954.0
2006,Rutgers,Big East,11,2,True,38564.416666666664
2006,Central Michigan,Mid-American,10,4,True,28834.923076923078
2006,Florida,SEC,13,1,True,85139.38461538461
2006,Washington State,Pac-10,6,6,False,43078.75
2006,Hampton,MEAC,10,2,False,
2006,Delaware,Atlantic 10,6,6,False,
2006,South Carolina State,MEAC,7,4,False,
2006,Illinois State,MVFC,9,4,False,47250.0
2006,Towson,Atlantic 10,7,4,False,
2006,Michigan,Big Ten,11,2,True,96651.5
2006,Eastern Washington,Big Sky,3,8,False,48787.5
2006,Southern Illinois,MVFC,9,4,False,31156.0
2006,Montana State,Big Sky,8,5,False,45513.0
2006,Temple,FBS Independents,1,11,False,32155.666666666668
2006,Furman,Southern,8,4,False,47000.0
2006,Charleston Southern,Big South,9,2,False,
2006,Kent State,Mid-American,6,6,False,20123.666666666668
2006,Holy Cross,Patriot,7,4,False,
2006,Ole Miss,SEC,4,8,False,62173.833333333336
2006,Indiana,Big Ten,5,7,False,42520.333333333336
2006,Army,FBS Independents,3,9,False,40692.583333333336
2006,Wofford,Southern,7,4,False,74286.0
2006,North Carolina,ACC,3,9,False,51377.166666666664
2006,Illinois,Big Ten,2,10,False,42981.0
2006,UAB,Conference USA,3,9,False,30650.166666666668
2006,Wake Forest,ACC,11,3,True,44944.38461538462
2006,UNLV,Mountain West,2,10,False,27946.454545454544
2006,Stephen F. Austin,Southland,4,7,False,35355.0
2006,UConn,Big East,4,8,False,37038.666666666664
2006,New Mexico,Mountain West,6,7,True,31021.666666666668
2006,Minnesota,Big Ten,6,7,True,52539.416666666664
2006,Fresno State,Western Athletic,4,8,False,37898.166666666664
2006,Clemson,ACC,8,5,True,68950.75
2006,Stony Brook,NEC,5,6,False,
2006,Tennessee,SEC,9,4,True,91130.16666666667
2006,Louisiana,Sun Belt,6,6,False,25763.416666666668
2006,Marshall,Conference USA,5,7,False,36534.583333333336
2006,Michigan State,Big Ten,4,8,False,57783.25
2006,Alabama,SEC,6,7,True,91812.08333333333
2006,Boston College,ACC,10,3,True,37727.166666666664
2006,Southeast Missouri State,OVC,4,7,False,72453.0
2006,Central Arkansas,FCS Independents,8,3,False,
2006,Missouri,Big 12,8,5,True,55353.666666666664
2007,Air Force,Mountain West,9,4,True,39537.666666666664
2007,Alcorn State,SWAC,2,8,False,21828.0
2007,Colorado,Big 12,6,7,True,50265.416666666664
2007,Syracuse,Big East,2,10,False,34213.083333333336
2007,North Carolina Central,FCS Independents,6,4,False,15122.0
2007,Army,FBS Independents,3,9,False,36492.0
2007,Bucknell,Patriot,3,8,False,
2007,Colorado State,Mountain West,3,9,False,30408.416666666668
2007,Illinois State,MVFC,4,7,False,56137.0
2007,Arkansas-Pine Bluff,SWAC,4,7,False,15329.0
2007,Missouri State,MVFC,6,5,False,46825.0
2007,Stony Brook,FCS Independents,6,5,False,
2007,Florida A&M,MEAC,3,8,False,
2007,Oregon,Pac-10,9,4,True,62164.083333333336
2007,Akron,Mid-American,4,8,False,16450.166666666668
2007,Western Illinois,MVFC,6,5,False,48301.0
2007,Iona,Metro Atlantic Athletic,7,4,False,
2007,Bowling Green,Mid-American,8,5,True,23290.333333333332
2007,Iowa State,Big 12,3,9,False,49762.416666666664
2007,New Hampshire,CAA,7,5,False,27255.0
2007,Michigan,Big Ten,9,4,True,95429.83333333333
2007,South Carolina State,MEAC,7,4,False,56229.5
2007,McNeese,Southland,10,1,False,33828.0
2007,Pennsylvania,Ivy,4,6,False,
2007,Louisiana Tech,Western Athletic,5,7,False,29563.166666666668
2007,Northern Colorado,Big Sky,1,11,False,40252.0
2007,BYU,Mountain West,11,2,True,50411.75
2007,Cornell,Ivy,5,5,False,
2007,Wagner,NEC,7,4,False,
2007,Florida Atlantic,Sun Belt,8,5,True,26578.333333333332
2007,Stephen F. Austin,Southland,0,10,False,
2007,Nicholls,Southland,6,4,False,13546.0
2007,Florida State,ACC,7,6,True,71184.83333333333
2007,Central Michigan,Mid-American,8,6,True,26132.846153846152
2007,Eastern Washington,Big Sky,9,4,False,64522.0
2007,Northern Illinois,Mid-American,2,10,False,28146.25
2007,Tennessee Tech,OVC,4,6,False,85754.0
2007,Fordham,Patriot,7,4,False,
2007,Idaho,Western Athletic,1,11,False,22214.416666666668
2007,Arkansas State,Sun Belt,5,7,False,29156.916666666668
2007,Georgia,SEC,11,2,True,70180.33333333333
2007,Arizona State,Pac-10,10,3,True,54492.416666666664
2007,Northwestern State,Southland,4,7,False,38088.0
2007,UCF,Conference USA,10,4,True,38233.0
2007,Ole Miss,SEC,3,9,False,51169.5
2007,Central Arkansas,Southland,6,5,False,20240.0
2007,Ohio State,Big Ten,11,2,True,87130.5
2007,St. Francis (PA),NEC,3,7,False,
2007,Princeton,Ivy,4,6,False,
2007,Texas Southern,SWAC,0,11,False,23737.5
2007,Southeast Missouri State,OVC,3,7,False,20223.0
2007,Purdue,Big Ten,8,5,True,62984.083333333336
2007,Southern,SWAC,8,3,False,
2007,Alabama State,SWAC,5,6,False,
2007,Missouri,Big 12,12,2,True,61745.692307692305
2007,SE Louisiana,Southland,3,7,False,24735.666666666668
2007,Rice,Conference USA,3,9,False,24303.0
2007,South Dakota,Great West,0,1,False,
2007,Southern Utah,Great West,0,11,False,
2007,William & Mary,CAA,4,7,False,66233.0
2007,Troy,Sun Belt,8,4,False,24703.916666666668
2007,Middle Tennessee,Sun Belt,5,7,False,26174.083333333332
2007,James Madison,CAA,9,4,False,58500.0
2007,Tennessee,SEC,10,4,True,82333.69230769231
2007,Indiana State,MVFC,0,11,False,19871.0
2007,New Mexico,Mountain West,9,4,True,32335.083333333332
2007,Utah,Mountain West,9,4,True,38908.166666666664
2007,Winston-Salem,MEAC,6,5,False,
2007,Coastal Carolina,Big South,5,6,False,
2007,Montana State,Big Sky,6,5,False,79438.0
2007,Maryland,ACC,6,7,True,48884.75
2007,USC,Pac-10,11,2,True,80230.16666666667
2007,Harvard,Ivy,8,2,False,
2007,Kentucky,SEC,8,5,True,69445.16666666667
2007,Morgan State,MEAC,5,6,False,
